insiderthreat,vector,date,user,source,action
1,0,1279584000,954,132,760
1,0,1279756800,957,428,826
1,0,1282089600,945,937,760
1,0,1287360000,950,920,760
1,2,1280880000,961,990,1421
1,2,1284422400,911,808,31
0,0,1262860260,498,253,1402
1,0,1299542400,941,888,749
1,0,1294790400,5,977,203
1,1,1300665600,941,888,47
0,2,1265272920,874,594,31
0,2,1264156020,262,334,31
0,2,1264775400,748,393,35
1,0,1278979200,948,988,203
0,2,1264001040,818,420,35
1,2,1289520000,2,555,35
0,2,1264520820,41,181,35
0,0,1262872320,123,94,595
1,0,1288742400,3,983,693
0,0,1262862060,42,665,378
0,2,1263981300,577,881,31
0,2,1265131620,99,518,35
0,2,1264004460,113,829,35
0,0,1262868840,814,587,746
1,2,1299456000,912,989,31
1,0,1284076800,930,958,760
1,2,1282176000,922,36,35
1,0,1280275200,946,801,674
0,2,1264521420,892,656,35
1,0,1277942400,944,952,1140
1,1,1285718400,940,915,38
1,2,1284940800,7,979,100
1,0,1294876800,925,354,693
1,0,1283904000,7,979,826
0,2,1265200020,527,180,31
0,0,1262869860,39,542,1373
1,2,1302134400,942,957,1421
0,2,1263466260,558,733,31
1,2,1281571200,9,875,102
0,0,1262872980,23,155,524
0,0,1262798280,167,77,199
1,1,1293580800,923,965,58
1,0,1300752000,942,957,826
0,2,1264606680,794,615,31
1,2,1286323200,960,998,31
0,0,1262871600,860,136,1415
0,2,1263206880,191,873,31
0,0,1262689260,865,741,1330
1,2,1282608000,938,955,31
1,0,1299456000,6,969,650
1,0,1297296000,10,993,761
0,0,1262686380,54,91,595
1,1,1289260800,917,514,62
0,2,1263820920,734,455,35
1,0,1295481600,5,977,627
0,0,1262871240,67,451,524
0,0,1262869740,123,94,595
1,2,1283990400,959,730,125
1,0,1282608000,915,825,1403
1,2,1290384000,3,983,99
0,2,1265213940,277,196,35
0,0,1262713020,735,663,1197
1,0,1288569600,950,920,826
1,2,1298419200,925,354,109
1,0,1285891200,958,959,409
1,0,1298937600,6,969,760
1,0,1281657600,954,132,760
1,0,1298851200,10,993,1405
0,0,1262859360,676,143,1199
1,0,1284422400,926,29,749
1,0,1289433600,916,81,693
0,2,1264088580,854,426,35
0,2,1262945280,44,76,31
0,2,1265204340,391,475,31
0,2,1264004160,793,303,35
1,0,1279584000,922,36,285
1,2,1291161600,921,966,1421
0,2,1262953260,781,61,31
0,0,1262687700,85,322,595
1,2,1297900800,925,354,109
1,1,1288656000,950,920,71
0,0,1262861280,529,427,965
1,2,1283212800,938,955,35
1,2,1283472000,8,273,101
1,0,1280793600,938,955,692
0,2,1262612640,659,877,35
1,2,1281916800,938,955,31
0,0,1262872800,37,778,180
0,0,1262686020,126,895,595
0,0,1262861340,78,88,595
1,2,1300838400,10,993,98
0,2,1263212460,480,274,31
0,0,1262872680,388,770,1212
0,2,1264069680,337,761,35
0,2,1263452760,733,723,31
0,2,1263224160,354,384,35
1,0,1279065600,961,990,826
0,0,1262870400,39,542,1246
1,2,1292976000,916,81,104
1,0,1279584000,949,975,1403
0,2,1264159140,734,455,35
1,0,1285632000,919,133,826
1,0,1296604800,10,993,761
0,0,1262872800,134,661,595
0,0,1262867040,62,127,840
1,0,1286496000,924,954,627
1,0,1283472000,934,731,1403
1,0,1288310400,920,884,760
1,0,1281398400,956,978,336
0,0,1262871300,374,262,595
1,0,1282521600,934,731,760
1,2,1283990400,945,937,35
1,0,1288656000,950,920,749
1,0,1293667200,5,977,826
1,0,1291680000,928,970,1403
1,0,1281916800,956,978,693
1,2,1283299200,954,132,122
1,2,1286150400,926,29,31
1,0,1282608000,13,248,749
0,2,1262595000,748,393,31
1,0,1296691200,10,993,694
1,2,1284076800,13,248,35
1,2,1283990400,4,128,31
0,0,1262611320,89,521,595
0,2,1263831600,365,610,35
0,0,1262871960,390,496,421
1,0,1294790400,931,956,760
1,2,1285027200,945,937,35
1,2,1284681600,911,808,35
0,2,1262955000,876,628,31
1,2,1283990400,938,1001,35
0,2,1262948640,473,261,35
1,0,1291161600,937,950,826
1,2,1296518400,931,956,1421
0,0,1262782500,147,63,944
1,2,1283212800,936,995,1421
0,2,1264614960,224,371,35
1,0,1299024000,10,993,761
1,0,1280966400,945,937,336
1,0,1283299200,915,825,826
0,2,1265022660,201,41,31
0,2,1263394920,319,763,31
1,1,1291766400,12,194,50
1,2,1290384000,950,920,1421
1,0,1281312000,954,132,826
0,2,1265037180,805,377,35
0,0,1262866740,50,101,489
1,2,1299456000,10,993,1421
0,2,1262698080,711,931,35
0,0,1262868180,156,258,1347
1,2,1300060800,914,973,35
0,2,1264596960,600,179,35
0,2,1263997740,603,408,31
1,0,1288569600,955,388,1403
1,2,1301616000,6,969,35
1,2,1292544000,917,514,105
1,2,1290988800,950,920,1421
1,2,1281398400,957,428,1421
0,0,1262869740,95,871,524
1,2,1284422400,4,128,35
1,0,1279670400,936,995,760
1,0,1285286400,958,959,880
1,0,1297728000,6,969,760
0,2,1262879460,451,333,31
1,0,1282262400,913,775,760
0,0,1262865120,88,192,595
0,2,1265030580,664,796,35
1,2,1286928000,958,959,31
1,0,1278028800,932,981,285
0,0,1262872800,26,497,505
0,2,1263465600,609,558,31
1,0,1279756800,954,132,760
0,2,1265136600,80,904,35
1,2,1302652800,953,976,121
1,0,1278028800,944,952,880
0,2,1263204960,722,247,35
0,0,1262872800,123,94,595
1,2,1289865600,910,960,31
1,0,1280102400,956,978,760
1,0,1284681600,915,825,336
1,0,1283126400,960,998,1140
1,0,1279152000,9,875,826
1,2,1282867200,961,990,126
0,0,1262863860,458,874,1415
0,2,1263914400,30,826,35
1,0,1284422400,930,958,760
1,0,1283299200,915,825,1032
1,0,1280448000,948,988,1032
1,2,1280448000,961,990,1421
1,2,1283990400,945,937,31
1,0,1282089600,13,248,880
1,2,1284076800,943,294,118
1,0,1278460800,961,990,1140
1,0,1281571200,956,978,693
1,1,1281571200,948,988,15
1,2,1282176000,938,955,31
1,0,1281398400,911,808,692
1,0,1281484800,948,988,1140
0,0,1262872320,90,130,595
1,0,1280188800,8,273,1140
0,0,1262856360,297,573,1165
0,0,1262872320,621,339,211
1,0,1294012800,952,634,749
0,0,1262774760,289,914,700
1,2,1279756800,944,952,35
1,2,1282694400,936,995,1421
0,0,1262867940,143,304,342
1,0,1289779200,14,949,1032
1,0,1283558400,930,958,760
0,0,1262872980,90,130,916
0,0,1262866380,848,366,1341
0,2,1262868660,338,483,31
1,0,1297900800,941,888,1403
1,0,1293494400,12,194,826
1,0,1289347200,910,960,692
1,0,1282608000,13,248,760
0,2,1264513800,80,904,35
1,0,1290988800,12,194,693
1,2,1281312000,922,36,35
0,2,1263459600,170,241,31
1,0,1282176000,934,731,749
0,0,1262684880,105,762,1415
1,2,1283299200,938,955,35
1,0,1284076800,7,979,693
1,2,1297641600,925,354,1421
0,2,1264784700,609,558,35
1,0,1283385600,915,825,826
1,0,1283817600,926,29,285
1,2,1283817600,956,978,1421
1,0,1279152000,938,955,336
1,1,1278374400,944,952,96
1,0,1291334400,928,970,409
0,2,1262881320,722,247,35
1,0,1277078400,932,981,1140
1,0,1282348800,943,294,760
0,0,1262855100,254,891,595
0,2,1265062260,560,551,35
0,0,1262867400,50,101,1235
0,2,1262967960,220,350,35
1,0,1283817600,958,959,1032
1,0,1282262400,960,998,409
0,2,1263387660,132,517,35
0,0,1262802180,89,521,1402
1,0,1299801600,918,996,760
1,2,1282176000,938,986,31
0,2,1263319860,693,89,31
0,2,1264071600,829,14,31
1,2,1284681600,911,808,31
1,0,1285286400,919,133,693
0,0,1262872860,140,790,595
1,0,1296518400,927,732,824
1,0,1282262400,943,294,1140
1,0,1279756800,948,988,650
1,0,1295395200,925,354,760
0,0,1262866380,33,696,180
0,0,1262737320,108,768,595
1,0,1289260800,921,966,693
0,0,1262872860,90,130,662
1,0,1279756800,957,428,693
1,0,1283126400,913,775,880
1,0,1292457600,952,634,749
1,2,1281916800,961,990,1421
0,0,1262872080,68,145,596
0,0,1262799180,44,76,524
1,2,1289865600,955,388,35
1,0,1287705600,910,960,1140
1,0,1288742400,916,81,749
1,0,1280793600,911,808,1403
0,2,1262962560,404,911,35
0,2,1262614920,319,763,35
1,2,1282089600,946,801,35
1,0,1289520000,916,81,760
1,0,1288137600,924,954,1403
1,0,1280188800,938,955,627
1,1,1294704000,931,956,134
1,0,1280102400,956,978,826
0,2,1265202420,603,408,35
0,0,1262686500,70,583,547
1,0,1277337600,957,428,826
1,0,1284595200,958,959,1032
0,0,1262866500,15,332,170
0,0,1262687040,74,510,1125
0,0,1262868960,311,720,1396
1,0,1297728000,941,888,285
1,0,1281398400,945,937,749
0,2,1264624800,598,642,31
1,1,1287964800,924,954,52
1,0,1298851200,941,888,1032
1,0,1288569600,924,954,627
1,0,1294358400,952,634,760
0,0,1262791440,127,607,746
1,2,1295395200,952,634,120
0,0,1262872860,25,804,524
1,2,1284422400,911,808,31
0,2,1262881080,59,886,35
1,0,1280188800,961,990,1140
1,2,1291680000,921,966,1421
0,2,1264674240,385,880,31
1,0,1280102400,938,955,826
0,2,1264624020,643,486,35
1,0,1295740800,927,732,762
0,2,1264159620,906,202,31
0,2,1264525320,514,845,31
1,2,1296691200,923,965,31
0,0,1262712060,36,39,300
1,0,1296691200,912,989,760
0,0,1262695260,279,605,658
0,2,1264526760,514,845,35
0,0,1262867040,108,768,595
0,2,1265218200,332,292,35
1,2,1285027200,945,937,35
0,0,1262687160,94,23,595
1,2,1283126400,943,294,1421
0,0,1262865600,220,350,217
1,0,1300924800,953,976,826
1,2,1301011200,941,888,31
1,2,1287532800,919,133,35
1,0,1280793600,911,808,1403
0,2,1264007940,607,340,35
1,0,1281657600,956,978,1140
0,2,1265034960,168,433,31
1,1,1291766400,937,950,88
1,0,1299456000,918,996,760
1,2,1300752000,11,669,31
1,2,1301270400,914,973,35
1,2,1302739200,11,669,35
1,0,1285545600,958,959,409
1,0,1291161600,12,194,760
0,0,1262871960,522,909,408
1,2,1284336000,8,273,1421
1,0,1279670400,951,951,760
0,0,1262798100,149,480,1402
0,2,1263311940,832,386,31
1,2,1284422400,4,128,35
1,2,1287964800,919,133,35
1,2,1297123200,935,868,31
1,2,1282780800,8,273,1421
0,0,1262780400,795,331,1259
0,0,1262865900,128,269,1402
1,2,1290384000,924,954,31
1,2,1283472000,8,273,101
0,0,1262850840,628,35,654
0,0,1262781960,71,184,1415
0,2,1264609860,473,261,35
1,2,1290556800,920,884,107
1,0,1279584000,954,132,1140
1,2,1284422400,4,128,31
0,2,1265202660,573,919,35
1,0,1280102400,954,132,1140
1,2,1290384000,924,954,31
1,0,1281052800,8,273,693
1,0,1288915200,910,960,285
0,0,1262776800,637,87,1056
0,0,1262867940,55,748,501
0,0,1262867280,600,179,800
0,0,1262696280,116,822,524
0,2,1264432980,404,911,35
1,2,1282089600,922,36,35
1,2,1297036800,925,354,109
1,0,1297123200,6,969,674
1,0,1283126400,945,937,1032
1,0,1283299200,7,979,760
1,0,1280880000,936,995,760
1,2,1285632000,934,731,1421
1,0,1296172800,925,354,826
0,2,1263479460,151,494,35
1,2,1284336000,934,731,113
1,0,1294617600,927,732,1139
0,2,1263400620,385,880,35
1,2,1300924800,6,969,31
1,0,1282262400,959,730,1403
1,2,1291161600,3,983,1421
1,0,1277856000,957,428,826
1,2,1283299200,945,937,31
0,0,1262764140,67,451,1415
1,1,1299715200,11,669,75
1,1,1297123200,5,977,147
0,2,1262802180,587,571,35
0,0,1262712540,456,632,1227
1,0,1282089600,934,731,336
0,0,1262624820,29,598,595
1,0,1281571200,936,995,760
1,1,1299110400,11,669,75
0,0,1262797380,96,104,1091
0,0,1262857140,634,147,600
0,0,1262864940,101,819,595
1,2,1285718400,945,937,35
1,2,1292544000,917,514,1421
1,0,1294876800,923,965,826
1,1,1285804800,958,959,27
1,2,1285200000,4,128,31
1,2,1292025600,1,948,35
1,0,1280188800,938,955,1032
0,2,1265213880,132,517,31
1,1,1277856000,944,952,96
1,0,1281398400,936,995,749
0,0,1262700420,95,871,595
1,2,1281398400,949,975,31
1,0,1289520000,3,983,749
1,0,1281657600,936,995,760
0,0,1262869260,466,68,1337
1,1,1279670400,922,36,141
1,0,1283817600,915,825,1403
0,0,1262863560,687,56,526
1,0,1278979200,9,875,826
0,0,1262867820,106,468,217
1,2,1295827200,5,977,31
1,2,1283299200,4,128,31
1,2,1292457600,14,949,35
1,2,1300924800,6,969,35
1,0,1290470400,928,970,203
0,0,1262868960,642,75,794
1,2,1300838400,941,888,35
0,0,1262867460,663,142,1162
0,0,1262698980,97,81,595
0,0,1262856480,39,542,1373
0,2,1262613480,262,334,35
0,2,1263577920,224,371,35
0,0,1262864400,540,854,1401
0,2,1265178060,280,843,31
0,0,1262872980,96,104,595
1,0,1288656000,1,948,693
1,0,1279670400,9,875,749
1,0,1279756800,946,801,285
1,1,1289779200,910,960,150
1,0,1290556800,928,970,1403
1,2,1298505600,925,354,1421
0,2,1263577800,682,19,35
0,2,1264523100,573,919,35
1,0,1288569600,950,920,1140
1,2,1288310400,958,959,35
1,0,1277424000,944,952,749
0,2,1265255520,450,307,35
1,0,1288656000,917,514,760
1,0,1281052800,911,808,627
0,2,1264440420,604,318,35
0,0,1262872980,119,191,595
1,2,1283990400,938,961,35
0,2,1265206980,607,340,31
0,2,1264424220,659,877,35
1,0,1297209600,912,989,880
1,0,1282089600,945,937,693
1,2,1280361600,949,975,31
0,2,1262606940,216,580,31
1,0,1280448000,951,951,1403
1,0,1289779200,910,960,760
1,0,1282262400,959,730,826
0,0,1262868060,145,119,665
0,2,1264676220,677,337,31
1,2,1286323200,919,133,35
0,0,1262866560,548,563,595
1,2,1281398400,961,990,1421
1,0,1281398400,938,955,650
1,0,1280275200,13,248,650
1,2,1279670400,949,975,35
1,0,1278892800,944,952,1032
1,0,1281052800,911,808,760
1,0,1279152000,961,990,760
1,0,1281052800,8,273,826
0,2,1262876160,30,826,35
0,0,1262856660,173,50,595
1,2,1296691200,5,977,31
0,0,1262865360,486,526,874
1,2,1280707200,932,981,31
1,0,1292889600,931,956,1403
1,2,1285891200,915,825,31
1,2,1289952000,921,966,108
1,0,1294358400,927,732,761
1,2,1293494400,937,950,115
0,0,1262869080,628,35,633
0,0,1262872860,614,716,595
1,0,1286323200,2,555,336
1,0,1288915200,924,954,285
0,0,1262866740,136,203,595
0,0,1262688180,416,4,632
1,0,1282089600,930,958,693
0,0,1262866380,363,818,489
1,2,1289520000,2,555,35
1,0,1288656000,955,388,285
1,2,1305072000,953,976,121
1,2,1297296000,925,354,109
0,2,1263289800,659,877,31
1,0,1296172800,935,868,650
1,0,1281312000,956,978,760
1,0,1289952000,1,948,203
1,2,1294272000,928,970,31
0,2,1263386340,184,66,35
1,0,1294704000,5,977,1032
1,2,1291939200,1,948,31
0,2,1263233340,385,880,31
0,0,1262611860,112,470,975
1,2,1294790400,933,418,112
0,0,1262872680,593,257,591
1,0,1289865600,920,884,760
1,2,1291161600,950,920,119
1,0,1279843200,951,951,1140
1,0,1289865600,1,948,826
1,2,1290384000,3,983,99
1,0,1291161600,937,950,693
0,2,1263321420,547,627,35
0,0,1262615100,43,425,235
1,0,1287014400,940,915,760
0,0,1262867100,76,502,595
1,0,1281312000,938,955,693
0,2,1262873040,485,471,31
0,2,1263203760,23,155,35
1,0,1293494400,923,965,826
0,0,1262870400,28,718,595
1,2,1281657600,961,990,1421
1,2,1284508800,911,808,35
0,2,1264160940,414,683,35
1,2,1303862400,918,996,106
1,2,1283299200,954,132,122
1,2,1280793600,9,875,1421
0,2,1263286560,677,337,31
1,0,1281916800,959,730,826
1,2,1286236800,930,958,110
0,2,1265203440,733,723,35
1,2,1299110400,912,989,35
1,0,1298505600,941,888,285
1,2,1283299200,954,132,122
0,0,1262865660,56,216,667
1,1,1280966400,959,730,85
1,0,1298592000,11,669,880
1,0,1290988800,937,950,693
1,2,1284508800,911,808,35
1,2,1296518400,931,956,111
1,0,1278633600,949,975,627
1,0,1300060800,918,996,749
1,0,1284508800,926,29,203
1,2,1302480000,918,996,106
1,0,1290124800,933,418,760
1,1,1280188800,946,801,72
1,2,1302652800,11,669,35
1,0,1282867200,934,731,693
0,2,1263570000,267,69,35
1,0,1281484800,959,730,826
0,2,1263544140,892,656,31
0,0,1262869860,186,695,208
1,0,1283385600,7,979,760
1,0,1280707200,956,978,826
1,2,1282521600,938,955,35
0,0,1262855100,664,796,535
1,2,1283472000,4,128,31
0,0,1262698500,64,397,1415
1,2,1284508800,956,978,123
1,2,1285632000,911,808,35
1,2,1294790400,933,418,1421
1,1,1291680000,928,970,69
1,2,1287014400,915,825,31
0,0,1262865840,24,349,524
1,2,1283385600,911,808,31
1,2,1292544000,920,884,1421
1,0,1298937600,11,669,826
1,2,1292544000,917,514,105
0,0,1262683200,98,636,495
1,2,1285718400,945,937,31
1,2,1283472000,938,955,35
1,2,1300233600,10,993,1421
1,2,1285545600,913,775,103
1,0,1277337600,949,975,1403
0,0,1262867100,514,845,279
0,2,1262774280,615,883,31
0,0,1262778600,842,284,608
0,2,1264507320,497,499,35
1,2,1291248000,955,388,35
0,2,1265123760,573,919,31
0,0,1262855880,419,97,1077
1,0,1289174400,1,948,693
1,0,1297036800,6,969,692
1,0,1288310400,955,388,203
1,2,1297209600,927,732,1421
1,0,1294617600,5,977,1140
0,0,1262684100,75,924,1402
1,0,1294617600,925,354,826
1,0,1285200000,919,133,693
0,2,1263292860,569,424,35
0,2,1263403500,607,340,35
0,0,1262872800,111,922,653
1,0,1281916800,4,128,765
0,0,1262856780,128,269,225
1,2,1294790400,937,950,1421
1,2,1282780800,948,988,31
1,2,1286409600,926,29,31
1,2,1287964800,919,133,35
1,1,1294704000,5,977,9
1,0,1284681600,958,959,749
1,0,1288915200,920,884,760
1,2,1284681600,911,808,31
0,2,1263819840,659,877,31
1,0,1284595200,926,29,285
1,0,1288742400,921,966,826
1,0,1292889600,928,970,674
0,0,1262866560,72,769,588
1,2,1284076800,8,273,1421
1,0,1279756800,9,875,760
0,0,1262871300,25,804,1402
0,0,1262870700,91,80,595
1,0,1297641600,941,888,627
1,0,1295827200,927,732,824
0,2,1262958660,60,344,35
0,2,1263207420,677,337,31
0,0,1262687940,155,655,241
0,2,1264065960,632,946,31
1,2,1284508800,7,979,100
1,0,1289520000,1,948,285
1,0,1297641600,912,989,336
0,2,1263396480,722,247,31
0,2,1265185380,629,385,31
0,0,1262871000,307,42,325
1,0,1294099200,931,956,693
1,2,1281312000,946,801,31
1,2,1281571200,946,801,31
0,2,1265210160,429,713,31
0,0,1262870400,892,656,291
1,2,1286928000,930,958,1421
0,0,1262872140,159,141,595
1,2,1298332800,912,989,35
1,2,1284076800,8,273,101
1,0,1287360000,955,388,203
1,0,1294272000,931,956,760
1,0,1299542400,942,957,826
0,2,1262886240,319,763,35
0,0,1262775600,78,88,595
1,2,1291334400,917,514,105
0,2,1263377880,632,946,35
0,2,1264000740,48,862,35
0,2,1264585440,600,179,31
1,0,1283126400,7,979,760
1,2,1283126400,943,294,1421
1,0,1285718400,919,133,203
1,2,1298332800,912,989,35
1,1,1282089600,943,294,39
0,0,1262870160,572,360,524
1,0,1283212800,7,979,760
1,2,1292976000,916,81,104
1,2,1285804800,7,979,100
0,0,1262610300,56,216,746
1,2,1287100800,919,133,31
1,0,1281398400,945,937,627
1,0,1282608000,7,979,1140
1,2,1283299200,945,937,35
1,0,1283126400,960,998,880
1,2,1303862400,953,976,1421
1,0,1289433600,1,948,674
0,0,1262864040,568,206,606
0,0,1262867940,242,509,170
0,2,1263231420,470,916,31
0,2,1263551940,604,318,35
0,2,1263299100,632,946,31
0,2,1263827940,60,344,31
1,0,1283472000,919,133,1403
0,2,1262602920,117,903,31
0,2,1263288180,23,155,35
1,0,1282176000,934,731,826
1,0,1279756800,936,995,336
1,0,1294790400,931,956,826
0,0,1262855100,307,42,524
0,0,1262870760,93,219,595
1,0,1297641600,10,993,824
0,2,1262623020,191,873,35
1,0,1288224000,1,948,285
0,2,1265026620,479,612,31
1,1,1282608000,8,273,80
1,0,1278028800,0,453,880
1,2,1297209600,927,732,97
0,2,1262962740,220,350,31
1,2,1294790400,937,950,115
1,2,1303862400,918,996,1421
0,2,1265197080,892,656,35
0,0,1262869740,66,387,1415
1,0,1278979200,948,988,760
0,2,1262871960,392,624,31
1,0,1280275200,951,951,880
1,1,1277078400,944,952,96
0,2,1262959440,365,610,31
1,0,1298505600,11,669,203
1,0,1279670400,956,978,1140
1,0,1295395200,931,956,826
1,2,1285113600,915,825,31
0,2,1263919320,682,19,31
1,1,1298592000,6,969,54
1,2,1301616000,6,969,31
1,2,1297123200,935,868,35
1,0,1283385600,913,775,760
1,2,1283990400,4,128,35
1,2,1299456000,927,732,97
1,2,1283385600,954,132,122
0,0,1262853780,183,902,934
0,2,1262800800,788,478,31
0,0,1262872860,692,936,1402
1,2,1285113600,4,128,31
1,0,1281571200,945,937,760
0,2,1263238860,643,486,31
1,2,1292544000,920,884,1421
1,0,1295827200,912,989,336
0,2,1262975400,396,807,31
1,0,1286755200,940,915,749
1,0,1278892800,9,875,1140
0,0,1262867040,28,718,1180
1,2,1281312000,922,36,31
1,2,1301270400,11,669,35
1,0,1283212800,4,128,763
1,2,1285718400,930,958,110
0,2,1263548280,365,610,31
1,2,1286409600,926,29,31
1,2,1299110400,935,868,35
1,1,1278633600,932,981,37
1,0,1280361600,8,273,826
1,2,1285286400,911,808,31
0,2,1264518060,545,12,31
0,0,1262855880,146,590,1415
0,0,1262778360,896,938,376
1,2,1300665600,6,969,31
0,2,1263479760,493,410,31
0,0,1262865900,85,322,595
0,2,1262971080,383,263,31
0,2,1263307860,473,261,35
1,0,1281398400,936,995,826
0,2,1265213220,232,330,35
1,0,1283299200,7,979,749
1,2,1289347200,924,954,35
1,0,1284508800,958,959,1140
0,2,1264719660,585,867,31
1,2,1283212800,911,808,35
1,0,1284163200,930,958,826
1,0,1283904000,7,979,760
1,2,1285200000,8,273,1421
1,0,1281657600,911,808,627
1,0,1292198400,933,418,1140
0,0,1262871780,351,495,646
0,2,1263230520,242,509,31
0,0,1262869620,102,506,595
1,0,1285718400,926,29,285
1,2,1283385600,911,808,35
0,2,1263491520,748,393,35
0,2,1265214660,396,807,31
0,0,1262847120,886,96,194
1,0,1289433600,955,388,1403
1,0,1278460800,946,801,674
1,0,1293408000,931,956,693
1,2,1280361600,949,975,31
1,2,1284336000,960,998,35
0,2,1263570780,818,420,31
0,0,1262864760,86,421,595
0,0,1262867400,118,158,783
1,2,1291334400,910,960,31
0,2,1262607420,659,877,31
1,2,1283299200,922,36,31
1,2,1297296000,5,977,35
1,2,1299456000,927,732,1421
